Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,25.990000,26.000000,25.570000,25.950001,24.383621,1500700
2019-05-07,25.900000,26.180000,25.680000,26.070000,24.496378,1282000
2019-05-08,26.070000,26.400000,25.969999,26.389999,24.797062,824300
2019-05-09,26.180000,26.400000,26.030001,26.340000,24.750080,1382600
2019-05-10,26.370001,26.370001,25.809999,25.990000,24.421207,1351300
2019-05-13,25.750000,25.799999,25.250000,25.379999,23.848028,1714600
2019-05-14,25.850000,25.889999,25.389999,25.700001,24.148714,1409500
2019-05-15,25.160000,25.290001,24.750000,25.100000,23.584929,1807900
2019-05-16,25.000000,25.049999,24.590000,24.799999,23.303038,1130000
2019-05-17,24.700001,24.760000,24.230000,24.240000,22.776838,1463700
2019-05-20,23.990000,24.940001,23.990000,24.889999,23.661743,1449000
2019-05-21,25.059999,25.230000,24.840000,25.049999,23.813847,1255900
2019-05-22,25.100000,25.459999,25.040001,25.129999,23.889898,948700
2019-05-23,24.990000,25.420000,24.790001,25.240000,23.994469,803100
2019-05-24,25.350000,25.500000,25.040001,25.100000,23.861380,680700
2019-05-27,25.160000,25.340000,25.030001,25.190001,23.946938,570700
2019-05-28,25.250000,25.889999,25.250000,25.740000,24.469797,1402900
2019-05-29,25.709999,25.930000,25.600000,25.600000,24.336706,1258800
2019-05-30,25.690001,25.889999,25.520000,25.670000,24.403252,1730500
2019-05-31,25.900000,26.530001,25.750000,26.530001,25.220812,1576800
2019-06-03,26.530001,26.750000,26.059999,26.440001,25.135254,1332700
2019-06-04,26.450001,26.660000,26.309999,26.549999,25.239822,1043300
2019-06-05,26.549999,26.730000,26.379999,26.660000,25.344398,981200
2019-06-06,26.750000,27.209999,26.670000,27.209999,25.867256,1541500
2019-06-07,27.320000,27.490000,27.139999,27.450001,26.095413,1648000
2019-06-10,27.379999,27.440001,27.120001,27.400000,26.047880,1057800
2019-06-11,27.450001,27.450001,27.020000,27.090000,25.753178,1267800
2019-06-12,27.170000,27.170000,26.850000,26.850000,25.525023,1334700
2019-06-13,26.990000,27.320000,26.680000,26.870001,25.544035,1491100
2019-06-14,26.930000,26.930000,26.120001,26.580000,25.268345,1780100
2019-06-17,26.590000,26.750000,26.200001,26.500000,25.192291,1474800
2019-06-18,26.770000,26.840000,26.410000,26.700001,25.382425,1633800
2019-06-19,26.730000,27.059999,26.330000,26.950001,25.620087,1229600
2019-06-21,27.120001,27.299999,26.830000,26.830000,25.506008,1312800
2019-06-24,26.860001,27.200001,26.860001,27.150000,25.810217,830800
2019-06-25,27.170000,27.240000,26.750000,26.799999,25.477489,763900
2019-06-26,26.910000,27.040001,26.780001,26.969999,25.639099,1097400
2019-06-27,26.799999,27.100000,26.590000,27.100000,25.762684,1413500
2019-06-28,27.139999,27.490000,26.990000,27.160000,25.819723,1304200
2019-07-01,27.430000,27.450001,27.139999,27.400000,26.047880,900100
2019-07-02,27.490000,27.540001,27.200001,27.400000,26.047880,960200
2019-07-03,27.330000,27.750000,27.120001,27.670000,26.304556,1320700
2019-07-04,27.750000,28.209999,27.750000,27.780001,26.409128,950200
2019-07-05,27.850000,28.070000,27.580000,28.030001,26.646793,583000
2019-07-08,28.040001,28.570000,27.930000,28.340000,26.941494,983400
2019-07-10,28.510000,28.959999,28.440001,28.690001,27.274223,1349600
2019-07-11,28.680000,28.959999,28.420000,28.959999,27.530897,1493000
2019-07-12,29.000000,29.000000,28.299999,28.480000,27.074583,1594800
2019-07-15,28.590000,28.670000,27.860001,28.030001,26.646793,1460700
2019-07-16,28.110001,28.209999,27.760000,27.820000,26.447153,984800
2019-07-17,27.889999,27.980000,27.700001,27.879999,26.504194,2083400
2019-07-18,28.000000,28.209999,27.900000,28.150000,26.760868,1390400
2019-07-19,28.270000,28.410000,27.860001,28.160000,26.770376,1124300
2019-07-22,28.180000,28.520000,28.000000,28.420000,27.017546,968100
2019-07-23,28.500000,28.680000,28.180000,28.430000,27.027052,1191200
2019-07-24,28.260000,28.540001,28.260000,28.379999,26.979519,769000
2019-07-25,28.490000,28.490000,27.850000,28.100000,26.713337,1874200
2019-07-26,28.100000,28.309999,27.830000,27.879999,26.504194,1312700
2019-07-29,27.900000,27.959999,27.350000,27.680000,26.314062,2973100
2019-07-30,27.700001,28.070000,27.530001,27.969999,26.589752,1051200
