C&A ,CEAB3,R$,"9,93",R$,"15,00",-,-,NEUTRO,2,3,5,"51,1",
Centauro ,CNTO3,R$,"32,46",R$,"41,00",-,-,NEUTRO,3,3,6,"26,3",
Carrefour Brasil ,CRFB3,R$,"20,20",R$,"22,00",R$,"20,50",COMPRA,4,4,8,"8,9",
CVC ,CVCB3,R$,"19,71",R$,"22,00",-,-,NEUTRO,2,2,4,"11,6", >> 
Hering ,HGTX3,R$,"14,80",R$,"19,00",-,-,NEUTRO,2,3,5,"28,4",
Lojas Americanas ,LAME4,R$,"31,00",R$,"40,00",R$,"37,00",COMPRA,4,4,8,"29,0",
Lojas Renner ,LREN3,R$,"41,00",R$,"55,00",-,-,NEUTRO,3,4,7,"34,1",
Magazine Luiza ,MGLU3,R$,"72,00",R$,"80,00",R$,"74,00",COMPRA,3,4,7,"11,1",
Natura ,NTCO3,R$,"41,30",R$,"56,00",R$,"51,00",COMPRA,3,3,6,"35,6",
Vulcabras Azaleia ,VULC3,R$,"5,26",R$,"6,30",-,-,NEUTRO,2,2,4,"19,8",
Vivara ,VIVA3,R$,"20,85",R$,"26,00",-,-,NEUTRO,4,3,7,"24,7",
Via Varejo ,VVAR3,R$,"15,55",R$,"20,00",R$,"18,50",COMPRA,2,3,5,"28,6",
