02/10/2019,,V,VIS,KLBN11,,1100,15.100,16610.0,,
24/09/2019,,C,VIS,LEVE3,,200,24.300,4860.0,,
20/09/2019,,C,VIS,KLBN11,,400,15.100,6040.0,,
13/09/2019,,C,VIS,PSSA3,,100,58.200,5820.0,,
13/09/2019,,V,VIS,SLCE3,,500,18.540,9270.0,,
11/09/2019,,C,VIS,KLBN11,,300,15.350,4605.0,,
04/09/2019,,C,VIS,KLBN11,,200,15.050,3010.0,,
22/08/2019,,C,VIS,BOVAU920,,100,0.700,70.0,,
16/08/2019,,C,VIS,BOVAU920,,100,1.170,117.0,,
14/08/2019,,C,VIS,KLBN11,,200,15.150,3030.0,,
14/08/2019,,C,VIS,SLCE3,,200,18.180,3636.0,,
05/08/2019,,C,VIS,SLCE3,,100,18.000,1800.0,,
26/07/2019,,C,VIS,SLCE3,,200,17.91,3582.0,,
10/07/2019,,C,VIS,ABCB4,,200,19.29,3858.0,,
10/07/2019,,C,VIS,ITUB4,,100,37.65,3765.0,,
10/07/2019,,C,VIS,TAEE11,,100,28.69,2869.0,,
